"Season","Team","playerID","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rush.twopta","rush.twoptm","recept","recyds","rec.tds","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","punt.rets","puntret.avg","puntret.tds","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","games","rushlng","rushlngtd","reclng","reclngtd","puntret.lng","puntret.lngtd","kick.ret.lng","kickret.lngtd"
2016,"ATL","00-0026980","T.Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2016,"ATL","00-0026997","A.Mack",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,1,0,0,0,0,0,0,0,0
2016,"ATL","00-0027282","B.Garland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2016,"ATL","00-0027871","S.Weatherspoon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2016,"ATL","00-0027944","J.Jones",0,0,0,0,0,0,0,0,0,0,0,0,83,1409,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,75,75,0,0,0,0
2016,"ATL","00-0027958","A.Clayborn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,4.5,0,0,0,0,1,5,0,9,0,0,0,0,0,0,0,0
2016,"ATL","00-0027980","B.Reed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,2,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2016,"ATL","00-0028011","S.Ridley",0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0
2016,"ATL","00-0028116","A.Robinson",0,0,0,0,0,0,0,0,0,0,0,0,19,314,2,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,59,35,0,0,16,0
2016,"ATL","00-0028581","P.DiMarco",0,0,0,0,0,0,0,0,0,0,0,0,7,52,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,1,0,0,14,0
2016,"ATL","00-0029111","D.Shelby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2016,"ATL","00-0029252","C.Upshaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,1,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0
2016,"ATL","00-0029632","M.Sanu",0,0,0,0,0,0,0,1,5,0,0,0,59,653,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,5,0,59,11,0,0,0,0
2016,"ATL","00-0029786","R.Schraeder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2016,"ATL","00-0029792","P.Worrilow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0
2016,"ATL","00-0029848","N.Williams",0,0,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0
2016,"ATL","00-0029955","L.Reynolds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0
2016,"ATL","00-0030424","M.Goodman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"ATL","00-0030427","K.Ishmael",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2016,"ATL","00-0030443","L.Toilolo",0,0,0,0,0,0,0,0,0,0,0,0,13,264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,46,46,0,0,0,0
2016,"ATL","00-0030528","R.Alford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
2016,"ATL","00-0030562","D.Trufant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,2,1,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0
